"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00130",8,8,0,2,0,1,9
"SAOUHSC_00131",12,10,1,2,0,1,2
"SAOUHSC_00132",16277,1346,4721,7538,9919,11123,23053
"SAOUHSC_00133",281,101,65,137,177,74,208
"SAOUHSC_00134",40,44,3,124,158,111,68
"SAOUHSC_00135",3,3,0,9,5,3,8
"SAOUHSC_00136",24,3,5,2,11,4,2
"SAOUHSC_00137",32,13,0,2,7,6,15
"SAOUHSC_00138",4,9,9,2,8,2,17
"SAOUHSC_00139",20,2,19,11,12,5,6
"SAOUHSC_00141",134,25,20,168,134,40,0
"SAOUHSC_00142",56,13,36,22,38,8,1
"SAOUHSC_00143",33,10,20,4,2,4,0
"SAOUHSC_00144",888,249,661,1100,928,938,3850
"SAOUHSC_00145",56,0,20,46,50,20,548
"SAOUHSC_00146",1251,34,8,276,417,164,211
"SAOUHSC_00147",144,1,8,20,24,5,24
"SAOUHSC_00148",0,6,43,28,14,13,17
"SAOUHSC_00149",6,4,2,2,2,2,18
"SAOUHSC_00150",46,6,36,8,15,14,19
"SAOUHSC_00151",12,3,18,11,0,6,90
"SAOUHSC_00152",88,21,76,94,134,82,25
"SAOUHSC_00153",1166,100,762,618,821,704,4983
"SAOUHSC_00154",1,0,0,0,0,0,0
"SAOUHSC_00155",102,28,71,87,24,43,170
"SAOUHSC_00156",48,82,84,217,136,75,379
"SAOUHSC_00157",29,20,38,73,52,32,327
"SAOUHSC_00158",18,75,189,51,114,19,345
"SAOUHSC_00160",140,141,362,116,226,136,1551
"SAOUHSC_00161",6,0,0,0,1,1,1
"SAOUHSC_00162",29,15,27,11,14,25,21
"SAOUHSC_00163",12,0,34,0,2,2,19
"SAOUHSC_00164",0,0,1,1,0,23,6
"SAOUHSC_00166",0,0,0,0,0,13,4
"SAOUHSC_00167",103,10,15,71,103,43,129
"SAOUHSC_00168",29,3,8,18,28,7,22
"SAOUHSC_00169",1,8,3,10,2,0,2
"SAOUHSC_00170",1,2,9,2,2,7,17
"SAOUHSC_00171",91,14,30,27,32,48,123
"SAOUHSC_00172",1,5,3,5,7,3,0
"SAOUHSC_00173",0,10,5,8,20,1,2
"SAOUHSC_00174",243,2,16,4,68,10,92
"SAOUHSC_00175",3,0,6,2,0,0,1
"SAOUHSC_00176",27,2,4,6,8,5,65
"SAOUHSC_00177",195,22,79,76,56,38,147
"SAOUHSC_00178",122,2,61,24,20,30,187
"SAOUHSC_00179",19,0,10,17,30,21,136
"SAOUHSC_00180",108,20,66,60,53,29,91
"SAOUHSC_00181",87,2,31,46,27,22,268
"SAOUHSC_00182",0,5,13,1,1,1,4
"SAOUHSC_00183",5,0,70,5,14,14,24
"SAOUHSC_00184",0,2,25,2,2,8,19
"SAOUHSC_00185",4,2,4,5,12,2,41
"SAOUHSC_00186",1,0,15,5,2,5,23
"SAOUHSC_00187",7276,971,4909,5292,1741,2073,34531
"SAOUHSC_00188",3103,281,2863,1589,432,624,16482
"SAOUHSC_00190",13,0,10,0,6,4,16
"SAOUHSC_00191",0,11,0,0,1,0,0
"SAOUHSC_00192",7,9,5,14,1,18,9
"SAOUHSC_00193",0,0,2,0,0,2,4
"SAOUHSC_00195",28565,1757,2136,94604,5670,2984,12321
"SAOUHSC_00196",16681,626,2314,57209,3168,2141,8564
"SAOUHSC_00197",5402,205,946,13895,1078,903,2990
"SAOUHSC_00198",5038,324,1042,15191,869,1053,6818
"SAOUHSC_00199",7020,748,1040,36297,3390,2594,10733
"SAOUHSC_00200",13,6,21,15,22,1,92
"SAOUHSC_00201",9,8,60,3,11,14,104
"SAOUHSC_00202",4,0,0,0,1,0,29
"SAOUHSC_00203",6,0,3,8,6,16,34
"SAOUHSC_00204",393,46,514,121,240,101,2032
"SAOUHSC_00205",0,0,0,0,0,0,0
"SAOUHSC_00206",2866,254,588,3175,1938,653,4364
"SAOUHSC_00208",39,2,3,10,21,13,37
"SAOUHSC_00209",235,5,121,145,89,73,150
"SAOUHSC_00211",30,8,3,7,2,17,35
"SAOUHSC_00212",0,0,0,0,0,0,0
"SAOUHSC_00213",30,10,4,15,28,9,26
"SAOUHSC_00214",1,0,0,1,0,0,0
"SAOUHSC_00215",2,2,0,0,0,0,4
"SAOUHSC_00216",46,10,5,44,63,10,155
"SAOUHSC_00217",90,23,0,82,83,3,312
"SAOUHSC_00218",2,3,4,2,2,1,38
"SAOUHSC_00219",193,73,62,374,402,350,908
"SAOUHSC_00220",27,6,34,32,18,2,97
"SAOUHSC_00221",64,4,64,23,30,44,430
"SAOUHSC_00222",44,26,145,38,29,62,428
"SAOUHSC_00223",8,0,60,14,0,30,53
"SAOUHSC_00225",41,7,87,33,30,22,96
"SAOUHSC_00226",114,47,153,154,114,88,339
"SAOUHSC_00227",818,362,1012,688,765,963,2938
"SAOUHSC_00228",86,145,455,73,200,247,692
"SAOUHSC_00229",0,1,1,0,2,0,6
"SAOUHSC_00230",107,14,70,50,69,26,207
"SAOUHSC_00231",0,0,2,4,0,1,10
"SAOUHSC_00232",198,18,66,27,113,60,599
"SAOUHSC_00233",250,23,94,32,148,63,777
"SAOUHSC_00234",6,4,2,34,10,38,110
"SAOUHSC_00235",38,0,0,16,0,59,9
"SAOUHSC_00236",258,14,324,116,15,356,1509
"SAOUHSC_00237",249,14,137,47,11,89,454
"SAOUHSC_00238",8,0,8,10,2,8,32
"SAOUHSC_00239",93,5,35,30,40,76,205
"SAOUHSC_00240",31,8,29,18,23,51,70
"SAOUHSC_00241",175,38,104,206,67,108,408
"SAOUHSC_00242",127,0,209,29,7,183,353
"SAOUHSC_00243",0,0,3,0,0,1,0
"SAOUHSC_00244",2,0,21,0,0,2,0
"SAOUHSC_00246",67,3,33,37,33,30,71
"SAOUHSC_00247",51,12,49,146,90,26,85
"SAOUHSC_00248",101,10,62,43,77,31,141
"SAOUHSC_00249",12,0,0,14,6,0,8
"SAOUHSC_00250",12,0,12,3,6,0,6
"SAOUHSC_00251",10,0,14,14,12,0,15
"SAOUHSC_00253",18,1,3,4,12,13,19
"SAOUHSC_00254",0,0,0,0,0,0,2
"SAOUHSC_00255",2,1,0,0,0,8,1
"SAOUHSC_00256",54,4,4,36,10,14,110
"SAOUHSC_00257",763,36,30,158,62,35,783
