"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00551",956,109,291,186,581,648,2044
"SAOUHSC_00552",99,48,193,52,109,65,81
"SAOUHSC_00553",1111,82,270,330,333,232,279
"SAOUHSC_00554",1492,151,582,900,691,850,437
"SAOUHSC_00555",198,69,14,32,26,24,138
"SAOUHSC_00556",1014,400,91,82,125,142,688
"SAOUHSC_00557",21,63,72,7,50,25,146
"SAOUHSC_00558",252,273,160,366,226,124,1347
"SAOUHSC_00559",6,51,88,10,0,21,226
"SAOUHSC_00560",2,125,107,13,4,26,443
"SAOUHSC_00561",4593,50015,128039,5630,2748,8254,75912
"SAOUHSC_00562",201,33,46,97,83,88,190
"SAOUHSC_00564",7,3,16,28,20,10,56
"SAOUHSC_00565",10,0,4,3,2,10,14
"SAOUHSC_00567",9,0,0,0,0,0,0
"SAOUHSC_00569",110,64,42,175,158,100,89
"SAOUHSC_00571",50,51,9,40,115,71,17
"SAOUHSC_00572",62,59,69,16,32,28,87
"SAOUHSC_00573",179,24,44,90,106,100,304
"SAOUHSC_00574",497,97,191,515,331,105,2131
"SAOUHSC_00575",182,53,345,90,74,42,2866
"SAOUHSC_00577",9,16,24,28,6,12,18
"SAOUHSC_00578",90,84,64,60,57,24,92
"SAOUHSC_00579",104,26,33,20,15,28,74
"SAOUHSC_00580",6,0,26,4,0,4,10
"SAOUHSC_00581",269,9,1198,51,68,102,306
"SAOUHSC_00582",7,0,132,2,20,2,4
"SAOUHSC_00583",0,1,0,0,0,0,0
"SAOUHSC_00584",4,9,11,1,4,8,18
"SAOUHSC_00585",0,0,0,0,0,0,0
"SAOUHSC_00586",1,0,2,0,0,0,0
"SAOUHSC_00587",0,0,35,1,1,0,0
"SAOUHSC_00588",0,0,6,0,0,0,0
"SAOUHSC_00589",0,0,0,0,1,0,0
"SAOUHSC_00591",0,0,6,2,0,2,0
"SAOUHSC_00592",1,0,14,2,6,6,0
"SAOUHSC_00596",0,0,23,0,0,0,0
"SAOUHSC_00598",0,0,1,0,0,1,2
"SAOUHSC_00599",0,0,6,0,0,0,0
"SAOUHSC_00600",0,0,40,0,0,0,0
"SAOUHSC_00602",0,1,29,2,0,1,1
"SAOUHSC_00603",270,88,197,341,288,111,231
"SAOUHSC_00604",116,8,24,44,52,13,177
"SAOUHSC_00605",4,0,2,1,4,1,0
"SAOUHSC_00606",81,4,21,16,42,15,156
"SAOUHSC_00607",0,0,0,0,4,0,0
"SAOUHSC_00608",403,150,552,271,117,99,1280
"SAOUHSC_00609",0,0,3,0,0,0,0
"SAOUHSC_00610",0,0,3,4,0,0,0
"SAOUHSC_00611",32,24,37,58,23,27,136
"SAOUHSC_00612",8,1,0,7,4,0,4
"SAOUHSC_00613",4,4,6,6,2,3,14
"SAOUHSC_00614",46,0,49,24,31,1,38
"SAOUHSC_00615",6,0,2,4,12,2,37
"SAOUHSC_00616",18,12,0,2,49,26,93
"SAOUHSC_00617",179,112,258,244,278,116,634
"SAOUHSC_00618",115,24,136,33,35,45,25
"SAOUHSC_00619",42,8,50,0,12,0,11
"SAOUHSC_00620",24,0,9,0,7,18,0
"SAOUHSC_00621",11,14,0,12,30,18,40
"SAOUHSC_00622",7,0,0,0,0,1,4
"SAOUHSC_00624",0,0,0,2,2,4,0
"SAOUHSC_00625",355,336,141,264,200,295,336
"SAOUHSC_00626",48,78,0,8,17,97,8
"SAOUHSC_00627",118,60,23,47,40,74,81
"SAOUHSC_00628",1385,597,237,590,641,859,398
"SAOUHSC_00629",298,394,108,222,245,402,183
"SAOUHSC_00632",928,652,806,321,391,589,203
"SAOUHSC_00633",947,457,296,1332,1603,802,665
"SAOUHSC_00634",165,25,66,94,114,54,324
"SAOUHSC_00636",93,54,65,65,61,34,166
"SAOUHSC_00637",68,35,8,29,45,4,91
"SAOUHSC_00638",13,4,22,37,9,8,149
"SAOUHSC_00639",160,30,105,10,16,10,318
"SAOUHSC_00640",26,0,3,1,15,3,4
"SAOUHSC_00641",88,58,113,110,251,258,351
"SAOUHSC_00642",54,31,144,21,26,30,57
"SAOUHSC_00643",18,5,45,29,30,24,55
"SAOUHSC_00644",19,8,70,47,60,50,304
"SAOUHSC_00645",1,0,0,2,2,0,3
"SAOUHSC_00646",42,25,55,26,38,44,106
"SAOUHSC_00647",1256,242,391,578,1076,684,1411
"SAOUHSC_00648",97,64,94,96,132,95,207
"SAOUHSC_00650",0,0,0,0,0,0,0
"SAOUHSC_00651",63,16,28,76,32,42,110
"SAOUHSC_00652",285,42,58,56,238,150,452
"SAOUHSC_00653",323,48,120,194,349,159,619
"SAOUHSC_00654",220,44,28,92,196,136,410
"SAOUHSC_00655",275,54,123,248,133,86,457
"SAOUHSC_00656",110,73,133,86,104,209,163
"SAOUHSC_00658",509,56,177,350,387,438,621
"SAOUHSC_00659",2035,807,1350,888,1190,1140,2605
"SAOUHSC_00660",178,72,16,85,153,160,78
"SAOUHSC_00661",16,8,6,14,14,5,49
"SAOUHSC_00662",0,1,44,0,2,0,4
"SAOUHSC_00663",434,104,248,82,226,160,732
"SAOUHSC_00664",41,6,33,20,12,35,18
"SAOUHSC_00665",30,7,27,0,25,18,4
"SAOUHSC_00666",119,84,6,29,96,144,192
"SAOUHSC_00667",150,80,0,39,154,133,97
"SAOUHSC_00668",398,375,2,144,531,413,184
"SAOUHSC_00669",69,35,107,48,48,27,151
"SAOUHSC_00670",92,23,208,92,58,31,543
"SAOUHSC_00671",1231,101,451,1412,1073,534,5507
"SAOUHSC_00672",5,36,159,4,11,14,55
"SAOUHSC_00673",7,0,23,0,1,2,0
"SAOUHSC_00674",11,10,10,3,11,0,4
"SAOUHSC_00675",621,120,52,357,264,280,664
"SAOUHSC_00676",88,12,26,68,45,77,168
"SAOUHSC_00677",0,0,0,0,0,0,0
"SAOUHSC_00678",24,40,18,14,12,38,44
"SAOUHSC_00679",134,74,10,24,73,42,492
"SAOUHSC_00680",9,10,2,2,12,4,102
"SAOUHSC_00681",410,119,220,34,118,230,423
"SAOUHSC_00682",89,47,84,13,60,40,27
"SAOUHSC_00683",1,0,1,0,1,5,4
"SAOUHSC_00684",4,1,0,6,0,1,0
"SAOUHSC_00685",2,0,0,0,0,0,0
"SAOUHSC_00686",3,3,0,7,0,5,0
"SAOUHSC_00687",2,0,0,4,0,2,5
"SAOUHSC_00688",56,2,12,16,14,22,135
"SAOUHSC_00689",4,0,24,8,1,4,34
"SAOUHSC_00690",14,2,47,0,13,4,30
"SAOUHSC_00691",31,4,71,6,11,17,45
"SAOUHSC_00692",245,82,235,155,158,114,1144
"SAOUHSC_00693",879,401,535,552,542,667,1190
"SAOUHSC_00694",23,7,41,10,34,15,505
"SAOUHSC_00695",14,24,15,7,26,9,51
"SAOUHSC_00696",44,2,18,2,21,14,24
"SAOUHSC_00697",4,0,0,0,0,0,0
"SAOUHSC_00698",426,83,150,437,179,211,56
"SAOUHSC_00699",858,90,43,491,413,197,4
"SAOUHSC_00700",3,4,8,3,24,10,1
"SAOUHSC_00701",3,4,20,7,18,10,3
"SAOUHSC_00702",16,9,22,4,18,4,2
"SAOUHSC_00703",702,192,114,342,654,310,161
"SAOUHSC_00704",14,8,16,17,8,19,27
"SAOUHSC_00705",0,0,0,0,0,0,4
"SAOUHSC_00706",42,14,10,16,19,23,26
"SAOUHSC_00707",374,22,166,158,102,208,164
"SAOUHSC_00708",1115,113,251,546,360,427,366
"SAOUHSC_00710",18,2,36,12,0,22,33
"SAOUHSC_00711",88,38,185,56,114,54,482
"SAOUHSC_00712",28,2,9,2,15,21,118
"SAOUHSC_00713",200,78,62,36,126,132,176
"SAOUHSC_00714",71,20,102,21,24,108,696
"SAOUHSC_00715",113,48,170,65,70,185,1300
"SAOUHSC_00716",211,28,239,72,90,182,816
"SAOUHSC_00717",10,4,31,12,4,43,58
"SAOUHSC_00718",2,26,14,2,10,4,2
"SAOUHSC_00719",40,6,0,21,17,23,30
"SAOUHSC_00720",28,6,56,9,16,18,27
"SAOUHSC_00721",14,0,14,3,16,9,11
"SAOUHSC_00722",11,3,0,2,2,9,4
"SAOUHSC_00723",22,28,2,22,39,14,5
"SAOUHSC_00724",8,2,8,4,16,1,2
"SAOUHSC_00725",6,6,2,2,6,0,6
"SAOUHSC_00726",8,1,12,6,10,14,2
"SAOUHSC_00727",30,3,11,43,47,28,6
"SAOUHSC_00728",1582,1498,2471,2156,1537,1694,6422
"SAOUHSC_00729",216,64,54,30,131,87,118
"SAOUHSC_00730",401,197,240,74,368,410,855
"SAOUHSC_00731",40,19,14,21,38,14,125
"SAOUHSC_00732",481,395,214,437,675,265,2210
"SAOUHSC_00733",384,25,120,59,67,34,90
"SAOUHSC_00734",100,14,16,14,60,21,98
"SAOUHSC_00735",162,0,2,55,40,8,4
"SAOUHSC_00736",544,54,260,32,64,426,114
"SAOUHSC_00737",0,0,0,0,0,0,0
"SAOUHSC_00738",109,17,24,46,60,52,203
"SAOUHSC_00739",4,4,10,2,2,4,52
"SAOUHSC_00740",13,18,4,4,14,4,38
"SAOUHSC_00741",176,101,115,63,218,79,290
"SAOUHSC_00742",2079,460,973,579,1638,782,3206
"SAOUHSC_00743",22,1,14,7,12,17,193
"SAOUHSC_00744",0,0,0,0,0,0,0
"SAOUHSC_00745",0,0,0,0,1,1,0
"SAOUHSC_00746",7,0,16,3,7,3,22
"SAOUHSC_00747",1,0,2,4,4,1,2
"SAOUHSC_00748",1,0,2,9,1,0,16
"SAOUHSC_00749",0,0,8,2,0,6,35
"SAOUHSC_00751",47,23,17,38,47,31,152
"SAOUHSC_00752",94,9,96,133,97,79,307
"SAOUHSC_00753",1,0,0,0,4,2,1
"SAOUHSC_00754",3,0,6,6,8,5,4
"SAOUHSC_00755",129,52,26,12,56,111,4
"SAOUHSC_00756",3,6,6,0,6,12,18
"SAOUHSC_00757",653,86,154,216,214,225,548
"SAOUHSC_00758",77,0,50,29,38,65,111
"SAOUHSC_00759",43,4,24,31,32,35,75
"SAOUHSC_00760",21,26,135,28,33,36,79
"SAOUHSC_00762",47,44,93,50,60,92,374
"SAOUHSC_00763",74,4,14,4,35,12,140
"SAOUHSC_00764",13,0,6,6,0,0,89
"SAOUHSC_00765",26,13,9,7,39,33,111
"SAOUHSC_00766",16,2,5,0,4,14,26
"SAOUHSC_00767",11,0,6,16,5,8,258
"SAOUHSC_00769",872,218,1514,549,538,602,3426
"SAOUHSC_00770",0,0,4,1,0,2,52
"SAOUHSC_00771",52,12,44,28,41,10,177
"SAOUHSC_00772",0,2,0,0,0,0,6
"SAOUHSC_00773",151,5,95,20,8,0,365
"SAOUHSC_00774",1,1,0,2,3,3,2
"SAOUHSC_00775",0,0,0,1,0,0,1
"SAOUHSC_00776",133,13,38,80,48,32,50
"SAOUHSC_00778",14,28,33,20,26,16,24
"SAOUHSC_00779",163,31,26,68,61,67,145
"SAOUHSC_00780",3599,784,775,1558,1479,1114,1548
"SAOUHSC_00781",110,11,4,98,74,88,373
"SAOUHSC_00782",40,9,46,10,38,72,125
"SAOUHSC_00783",65,4,29,48,17,22,126
"SAOUHSC_00784",325,104,300,127,222,209,214
"SAOUHSC_00785",2033,242,1466,762,1835,1254,2707
"SAOUHSC_00786",792,10,50,34,39,98,90
"SAOUHSC_00787",9,24,52,6,30,18,26
"SAOUHSC_00788",102,39,126,87,82,88,139
"SAOUHSC_00789",319,50,62,160,169,154,246
"SAOUHSC_T0005",1,2,0,0,1,0,0
"SAOUHSC_00790",80,4,54,27,70,3,168
"SAOUHSC_00792",170,26,79,118,236,47,245
"SAOUHSC_00793",26,1,25,22,28,0,25
"SAOUHSC_00794",3308,217,980,1758,3148,2025,2130
"SAOUHSC_00795",4473,287,1213,2820,2964,1643,1853
"SAOUHSC_00796",4640,226,648,2847,2428,2014,823
"SAOUHSC_00797",9287,375,901,3298,4001,3098,1805
"SAOUHSC_00798",4091,357,1443,1919,2570,1933,2714
"SAOUHSC_00799",6214,424,1223,4254,3887,2239,5876
"SAOUHSC_00800",12,16,10,18,12,18,7
"SAOUHSC_00801",12,0,30,0,4,2,65
"SAOUHSC_00802",16,12,28,18,27,28,34
"SAOUHSC_00803",1958,213,664,506,479,570,1155
"SAOUHSC_00804",435,70,76,104,149,100,190
"SAOUHSC_00806",6,6,0,0,4,0,0
"SAOUHSC_00807",3,2,0,0,4,0,0
"SAOUHSC_00808",1,1,13,1,5,1,0
"SAOUHSC_00809",2,0,2,1,0,0,0
"SAOUHSC_00810",2,1,31,2,4,0,0
"SAOUHSC_00811",0,0,11,0,1,4,22
"SAOUHSC_00812",97701,6638,1528,43486,63217,41132,11878
"SAOUHSC_00816",3,0,7,0,0,1,0
"SAOUHSC_00817",0,0,0,1,1,0,2
"SAOUHSC_00818",1,0,0,2,4,0,0
"SAOUHSC_00819",134,40,66,52,74,38,408
"SAOUHSC_00820",0,0,0,0,0,0,0
"SAOUHSC_00821",4,0,2,2,6,0,6
"SAOUHSC_00822",0,0,1,8,1,2,1
"SAOUHSC_00823",0,3,26,3,0,5,1
"SAOUHSC_00824",0,6,3,1,2,12,2
"SAOUHSC_00825",44,75,211,45,48,100,72
"SAOUHSC_00826",33,47,183,37,46,47,34
"SAOUHSC_00827",3,2,2,2,0,4,52
"SAOUHSC_00828",3,7,18,12,1,0,11
"SAOUHSC_00830",61,18,121,54,47,31,937
"SAOUHSC_00831",16,0,12,6,3,0,2
"SAOUHSC_00832",11,6,0,12,11,4,42
"SAOUHSC_00833",20,8,16,5,16,12,111
"SAOUHSC_00834",130,0,10,15,28,24,74
"SAOUHSC_00835",0,0,10,2,0,1,10
"SAOUHSC_00836",210,2,10,85,166,69,71
"SAOUHSC_00837",0,0,0,1,0,10,11
"SAOUHSC_00838",12,0,0,23,36,14,18
"SAOUHSC_00839",46,18,0,49,30,2,5
"SAOUHSC_00840",4,0,22,0,4,8,4
"SAOUHSC_00841",6,2,28,2,23,7,1
"SAOUHSC_00842",100,54,57,59,134,24,273
"SAOUHSC_00843",162,42,50,272,387,102,193
"SAOUHSC_00844",25,6,106,0,18,26,73
"SAOUHSC_00845",8,0,0,4,2,494,0
"SAOUHSC_00846",52,16,34,32,66,56,106
"SAOUHSC_00847",31,0,10,1,10,6,34
"SAOUHSC_00848",2973,470,565,292,1293,975,3799
"SAOUHSC_00849",16437,1947,1759,2739,5947,2425,12995
"SAOUHSC_00850",1017,238,245,177,340,325,524
"SAOUHSC_00851",5656,1120,1525,1093,5941,1043,4109
"SAOUHSC_00852",0,3,0,1,0,0,0
"SAOUHSC_00853",0,6,6,0,0,0,1
"SAOUHSC_00854",483,129,121,44,231,165,240
"SAOUHSC_00855",624,614,36,176,868,1497,262
"SAOUHSC_00857",0,0,0,0,0,0,8
"SAOUHSC_00858",36,1,24,0,18,2,29
"SAOUHSC_00859",397,130,4107,175,252,116,258
"SAOUHSC_00860",281,35,131,47,97,135,355
"SAOUHSC_00861",1227,223,164,650,836,462,1172
"SAOUHSC_00862",0,11,22,4,16,9,11
"SAOUHSC_00863",0,0,5,0,0,0,6
"SAOUHSC_00864",14,0,5,4,2,6,12
"SAOUHSC_00865",20,5,2,0,8,14,75
"SAOUHSC_00866",86,118,104,85,129,74,471
"SAOUHSC_00867",0,0,0,0,0,0,0
"SAOUHSC_00868",4,0,0,0,0,0,0
"SAOUHSC_00869",1335,287,738,335,739,529,1651
"SAOUHSC_00870",538,209,488,147,476,234,625
"SAOUHSC_00871",433,147,201,129,440,233,339
"SAOUHSC_00872",513,218,452,141,356,172,563
"SAOUHSC_00873",14,4,0,2,14,5,302
"SAOUHSC_00874",0,0,3,0,0,0,0
"SAOUHSC_00875",1414,374,88,150,514,228,750
"SAOUHSC_00876",54,7,0,4,38,5,14
"SAOUHSC_00877",199,47,126,96,200,109,342
"SAOUHSC_00878",422,66,305,246,248,172,724
"SAOUHSC_00879",143,24,45,242,219,125,294
"SAOUHSC_00880",1062,189,974,59,544,353,2433
"SAOUHSC_00881",396,63,277,41,164,128,1184
"SAOUHSC_00882",14,0,36,4,16,8,29
"SAOUHSC_00883",91,7,83,35,105,48,385
"SAOUHSC_00884",127,40,232,40,180,100,436
"SAOUHSC_00885",172,58,312,72,142,114,724
"SAOUHSC_00886",688,143,541,460,599,408,1541
"SAOUHSC_00887",344,37,101,169,306,133,502
"SAOUHSC_00888",155,23,68,16,125,77,348
"SAOUHSC_00889",1393,228,621,575,740,578,1897
"SAOUHSC_00890",6,12,0,10,12,8,48
"SAOUHSC_00891",138,26,8,73,124,56,107
"SAOUHSC_00892",50,10,14,18,28,24,205
"SAOUHSC_00893",341,15,34,128,171,25,120
"SAOUHSC_00894",8204,1036,977,4233,6317,2122,5888
"SAOUHSC_00895",73752,7360,26868,23656,35835,14201,50581
"SAOUHSC_00896",73,1,8,0,5,35,17
"SAOUHSC_00897",76,45,49,11,58,29,113
"SAOUHSC_00898",2151,420,879,1212,1824,962,5186
"SAOUHSC_00899",668,127,264,268,620,453,1853
"SAOUHSC_00900",538,202,153,395,470,340,1637
"SAOUHSC_00901",14,36,64,0,15,19,16
"SAOUHSC_00902",23,45,57,0,38,13,26
"SAOUHSC_00903",29,0,21,1,3,21,12
"SAOUHSC_00904",216,94,243,45,155,381,873
"SAOUHSC_00905",1082,221,285,1027,988,978,1988
"SAOUHSC_00906",595,86,130,154,299,306,671
"SAOUHSC_00907",0,0,0,12,6,0,5
"SAOUHSC_00908",2440,375,265,1355,3097,782,4082
"SAOUHSC_00909",76,70,56,46,119,58,276
"SAOUHSC_00910",1147,292,96,1424,1912,17,180
"SAOUHSC_00911",22,0,0,0,4,2,10
"SAOUHSC_00912",23576,1731,1326,3141,2822,815,10039
"SAOUHSC_00913",4,0,10,8,6,1,2
"SAOUHSC_00914",10,0,0,5,0,2,3
"SAOUHSC_00915",1,0,0,0,0,1,0
"SAOUHSC_00916",0,1,0,3,0,0,0
"SAOUHSC_00917",5,0,2,5,0,0,5
"SAOUHSC_00919",16,8,9,10,4,0,132
"SAOUHSC_00920",52,14,160,30,20,14,313
"SAOUHSC_00921",449,66,94,223,258,128,1010
"SAOUHSC_00922",0,0,0,0,0,1,0
"SAOUHSC_00923",30,9,115,39,46,29,56
"SAOUHSC_00924",590,86,546,274,304,262,1110
"SAOUHSC_00925",566,60,712,200,155,140,1624
"SAOUHSC_00926",479,152,178,418,652,504,117
"SAOUHSC_00927",282,100,180,262,394,203,598
"SAOUHSC_00928",2,1,0,1,5,2,3
"SAOUHSC_00929",0,4,0,8,1,6,6
"SAOUHSC_00930",0,2,10,0,1,7,9
"SAOUHSC_00931",1,0,5,4,3,0,0
"SAOUHSC_00932",1,0,0,0,3,0,5
"SAOUHSC_00933",116,18,12,38,90,51,188
"SAOUHSC_00934",7619,3480,4592,6518,4898,7272,25450
"SAOUHSC_00935",582,234,618,412,693,221,836
"SAOUHSC_00936",2,0,0,0,2,0,1
"SAOUHSC_00937",81,2,51,27,31,60,137
"SAOUHSC_00938",104,28,98,44,151,63,242
"SAOUHSC_00939",46,22,43,8,55,34,143
"SAOUHSC_00940",4,0,0,0,6,10,34
"SAOUHSC_00941",6,1,2,0,0,0,55
"SAOUHSC_00942",183,270,652,135,178,307,278
"SAOUHSC_00943",214,65,219,118,165,155,701
"SAOUHSC_00944",56,6,21,14,101,88,288
"SAOUHSC_00945",854,238,821,424,473,390,762
"SAOUHSC_00946",363,132,457,162,230,273,468
"SAOUHSC_00947",355,279,1167,777,421,232,156
"SAOUHSC_00948",146,71,205,39,80,49,201
"SAOUHSC_00949",82,2,96,15,70,34,120
"SAOUHSC_00950",2,0,0,5,2,7,3
"SAOUHSC_00951",54,4,46,28,26,10,73
"SAOUHSC_00952",445,158,197,90,234,140,500
"SAOUHSC_00953",439,125,80,159,364,172,563
"SAOUHSC_00954",119,27,198,70,70,114,58
"SAOUHSC_00955",0,6,0,0,8,0,0
"SAOUHSC_00956",112,46,70,100,99,69,18
"SAOUHSC_00957",113,33,16,70,20,13,160
"SAOUHSC_00958",19,0,10,7,15,14,59
"SAOUHSC_00959",123,64,94,30,50,45,222
"SAOUHSC_00960",16,14,132,14,14,88,151
"SAOUHSC_T00049",0,0,0,8,0,0,4
"SAOUHSC_T0008",0,0,0,8,0,0,4
"SAOUHSC_00961",3,0,0,10,1,2,12
"SAOUHSC_00962",1,0,24,0,0,0,12
"SAOUHSC_00963",3,6,30,0,3,2,11
"SAOUHSC_00964",42,29,42,13,55,30,20
"SAOUHSC_00965",39,44,48,10,69,23,21
"SAOUHSC_00966",12,0,28,0,6,10,24
"SAOUHSC_00967",0,0,0,0,0,0,0
"SAOUHSC_00968",0,0,44,3,2,0,12
"SAOUHSC_00969",0,0,12,0,0,0,0
"SAOUHSC_00970",0,0,0,1,0,0,0
"SAOUHSC_00971",50,0,20,6,23,0,20
"SAOUHSC_00972",0,0,0,0,0,0,0
"SAOUHSC_00975",0,0,8,0,0,1,0
"SAOUHSC_00976",0,0,0,1,0,0,5
"SAOUHSC_00977",12,0,18,4,4,10,0
"SAOUHSC_00978",24,0,27,8,2,14,0
"SAOUHSC_00979",2,0,0,0,0,0,6
"SAOUHSC_00980",92,9,27,44,46,56,143
"SAOUHSC_00981",0,1,0,0,0,1,2
"SAOUHSC_00982",56,64,28,14,46,12,66
"SAOUHSC_00983",197,204,92,179,190,240,340
"SAOUHSC_00984",93,39,24,21,77,56,270
"SAOUHSC_00985",1298,186,84,334,312,417,2170
"SAOUHSC_00986",30,0,8,0,6,0,2
"SAOUHSC_00987",175,10,64,5,38,12,123
"SAOUHSC_00988",420,18,33,10,38,36,6
"SAOUHSC_00989",113,8,24,6,52,24,180
"SAOUHSC_00991",0,24,12,6,44,15,4
"SAOUHSC_00992",0,4,0,16,12,2,0
"SAOUHSC_00993",0,0,0,3,0,0,0
"SAOUHSC_00994",4104,632,1188,8072,3858,3349,16657
"SAOUHSC_00995",0,0,12,1,2,12,7
"SAOUHSC_00996",109,16,55,36,88,28,133
"SAOUHSC_00997",186,25,17,63,66,28,469
"SAOUHSC_00998",7,0,0,0,0,0,14
"SAOUHSC_00999",1683,175,542,723,743,410,1824
"SAOUHSC_01000",2744,431,1351,1097,1344,810,4915
"SAOUHSC_01001",9428,1951,5299,5151,6606,4392,27943
"SAOUHSC_01002",3997,657,1718,1979,2083,1370,8846
"SAOUHSC_01003",0,10,0,0,0,1,0
"SAOUHSC_01005",74,12,50,0,12,13,127
"SAOUHSC_01007",1588,428,509,1296,1447,290,1300
"SAOUHSC_01008",174,0,12,101,101,53,49
"SAOUHSC_01009",57,2,30,45,53,27,49
"SAOUHSC_01010",19,2,14,1,5,2,44
"SAOUHSC_01011",20,12,46,9,6,4,29
"SAOUHSC_01012",62,15,48,40,39,26,14
"SAOUHSC_01013",385,55,435,142,110,725,403
"SAOUHSC_01014",651,83,315,292,221,745,522
"SAOUHSC_01015",212,4,115,56,82,99,224
"SAOUHSC_01016",99,8,134,16,34,39,97
"SAOUHSC_01017",868,162,590,298,456,208,438
"SAOUHSC_01018",171,62,256,99,78,80,196
"SAOUHSC_01019",8,17,45,8,14,23,66
"SAOUHSC_01021",598,100,387,201,169,344,1373
"SAOUHSC_01022",109,42,114,46,63,87,338
"SAOUHSC_01023",18,3,0,6,4,0,0
"SAOUHSC_01024",0,4,2,0,0,0,0
"SAOUHSC_01025",606,276,1018,128,304,341,964
"SAOUHSC_01026",113,60,214,34,54,95,136
"SAOUHSC_01027",32,24,39,28,22,12,98
"SAOUHSC_01028",286,58,245,200,213,127,403
"SAOUHSC_01029",3882,541,2923,1362,1556,1766,3721
"SAOUHSC_01030",3,0,0,0,0,0,1
"SAOUHSC_01031",105,41,135,44,90,172,238
"SAOUHSC_01032",193,123,454,60,168,233,90
"SAOUHSC_01034",139,76,38,66,153,67,161
"SAOUHSC_A00992",22,0,6,69,44,0,77
"SAOUHSC_01035",1760,519,605,653,1192,562,3916
"SAOUHSC_01036",11,3,9,7,11,7,82
"SAOUHSC_01037",0,0,0,0,0,0,0
"SAOUHSC_01038",54,0,30,10,20,14,29
"SAOUHSC_01039",10,12,18,3,10,10,6
"SAOUHSC_01040",14412,3394,4071,13987,7881,9097,27494
"SAOUHSC_01041",9339,2289,6884,10128,4920,6672,22235
"SAOUHSC_01042",36133,9038,20435,31443,25824,26681,70122
"SAOUHSC_01043",55899,18283,22497,42882,35261,20094,73846
"SAOUHSC_01044",0,0,0,0,0,0,0
"SAOUHSC_01045",0,0,14,0,0,0,1
"SAOUHSC_01046",13,1,22,6,12,8,12
"SAOUHSC_01047",2,0,12,2,5,0,5
"SAOUHSC_01048",5,2,11,7,0,5,0
"SAOUHSC_01049",133,10,64,69,46,38,71
"SAOUHSC_01050",1922,740,1747,788,1392,656,1436
"SAOUHSC_01051",49,1,9,11,19,12,6
"SAOUHSC_01053",968,90,252,318,555,764,688
"SAOUHSC_01054",58,16,22,8,26,15,44
"SAOUHSC_01055",839,134,221,566,583,233,658
"SAOUHSC_01055a",22,26,27,18,20,26,14
"SAOUHSC_01058",131,24,37,46,84,14,246
"SAOUHSC_01060",23,1,8,4,10,10,14
"SAOUHSC_01061",57,8,20,16,15,7,50
"SAOUHSC_01062",42,6,20,2,34,58,36
"SAOUHSC_01063",58,38,160,66,168,75,262
"SAOUHSC_01064",1694,178,701,669,1021,843,3122
"SAOUHSC_01065",408,89,100,174,262,188,618
"SAOUHSC_01066",402,76,123,156,326,140,721
"SAOUHSC_01067",10,9,48,12,22,7,15
"SAOUHSC_01068",12,11,20,15,10,10,13
"SAOUHSC_01069",182,24,134,33,76,84,142
"SAOUHSC_01070",64,16,42,19,26,6,66
"SAOUHSC_01071",44,4,14,30,26,20,111
"SAOUHSC_01072",0,0,0,0,1,6,0
"SAOUHSC_01073",5,0,6,0,20,17,1
"SAOUHSC_01074",11,16,84,6,27,44,32
"SAOUHSC_01075",16,4,12,3,13,16,18
"SAOUHSC_01076",75,30,13,5,6,30,26
"SAOUHSC_01077",112,18,44,76,58,40,291
"SAOUHSC_01079",2,3,1,4,5,1,8
"SAOUHSC_01081",0,0,1,0,0,0,3
"SAOUHSC_01082",0,0,0,0,0,0,6
"SAOUHSC_01084",10,0,0,0,0,0,8
"SAOUHSC_01085",0,4,9,0,1,2,7
"SAOUHSC_01086",2,0,14,0,0,0,1
"SAOUHSC_01087",0,0,0,0,0,4,0
"SAOUHSC_01088",0,1,3,1,1,3,0
"SAOUHSC_01089",0,1,0,6,0,0,0
"SAOUHSC_01090",0,1,0,0,0,0,0
"SAOUHSC_01091",18,6,19,7,2,23,4
"SAOUHSC_01092",3,0,13,1,3,6,2
"SAOUHSC_01093",192,30,148,172,79,58,412
"SAOUHSC_01095",18,0,13,6,10,0,22
"SAOUHSC_01096",14,1,4,0,2,0,20
"SAOUHSC_01097",12,28,64,6,25,22,30
"SAOUHSC_01098",387,68,210,169,117,181,273
"SAOUHSC_01099",467,103,237,370,243,177,517
"SAOUHSC_01100",436,28,75,58,60,46,232
"SAOUHSC_01101",31,0,0,1,2,1,5
"SAOUHSC_01102",231,49,142,61,108,58,233
"SAOUHSC_01103",160,28,273,58,206,139,358
"SAOUHSC_01104",32788,6457,8021,18284,25523,10203,21907
"SAOUHSC_01105",12376,1402,2038,3094,4986,3382,9403
"SAOUHSC_01106",612,54,344,130,312,169,1036
"SAOUHSC_01107",311,50,674,54,187,153,461
"SAOUHSC_01108",159,36,174,23,112,86,168
"SAOUHSC_01109",0,0,0,0,0,0,0
"SAOUHSC_01110",4,2,118,6,0,2,110
"SAOUHSC_01111",6,0,0,0,0,0,0
"SAOUHSC_01112",6,2,0,0,1,2,1
"SAOUHSC_01113",6,14,2,0,2,0,10
"SAOUHSC_01114",7,0,0,0,0,8,4
"SAOUHSC_01115",18,2,0,0,2,2,22
